"pattern"	"G527_1_P1A11_feces_S1"	"G527_10_P1A26_feces_S10"	"G527_11_P1A28_feces_S11"	"G527_12_P1A29_feces_S12"	"G527_13_P1A4_feces_S13"	"G527_14_P1A7_feces_S14"	"G527_15_P1A8_feces_S15"	"G527_16_P1A9_feces_S16"	"G527_17_P1A11_rumen_S17"	"G527_18_P1A13_rumen_S18"	"G527_19_P1A14_rumen_S19"	"G527_2_P1A13_feces_S2"	"G527_20_P1A19_rumen_S20"	"G527_21_P1A2_rumen_S21"	"G527_22_P1A20_rumen_S22"	"G527_23_P1A218_rumen_S23"	"G527_24_P1A22_rumen_S24"	"G527_25_P1A24_rumen_S25"	"G527_26_P1A25_rumen_S26"	"G527_27_P1A26_rumen_S27"	"G527_28_P1A29_rumen_S28"	"G527_29_P1A4_rumen_S29"	"G527_3_P1A14_feces_S3"	"G527_30_P1A7_rumen_S30"	"G527_31_P1A8_rumen_S31"	"G527_32_P1A9_rumen_S32"	"G527_33_P1A11_SNP_S33"	"G527_34_P1A13_SNP_S34"	"G527_35_P1A14_SNP_S35"	"G527_36_P1A19_SNP_S36"	"G527_37_P1A2_SNP_S37"	"G527_38_P1A20_SNP_S38"	"G527_39_P1A22_SNP_S39"	"G527_4_P1A19_feces_S4"	"G527_40_P1A24_SNP_S40"	"G527_41_P1A25_SNP_S41"	"G527_42_P1A26_SNP_S42"	"G527_43_P1A28_SNP_S43"	"G527_44_P1A29_SNP_S44"	"G527_45_P1A4_SNP_S45"	"G527_46_P1A7_SNP_S46"	"G527_47_P1A8_SNP_S47"	"G527_48_P1A9_SNP_S48"	"G527_49_2019_DNA_S49"	"G527_5_P1A2_feces_S5"	"G527_50_P2A1_feces_S50"	"G527_51_P2A10_feces_S51"	"G527_52_P2A14_feces_S52"	"G527_53_P2A16_feces_S53"	"G527_54_P2A18_feces_S54"	"G527_55_P2A19_feces_S55"	"G527_56_P2A20_feces_S56"	"G527_57_P2A21_feces_S57"	"G527_58_P2A22_feces_S58"	"G527_59_P2A26_feces_S59"	"G527_6_P1A20_feces_S6"	"G527_60_P2A27_feces_S60"	"G527_61_P2A28_feces_S61"	"G527_62_P2A29_feces_S62"	"G527_63_P2A7_feces_S63"	"G527_64_P2A9_feces_S64"	"G527_65_P2A1_rumen_S65"	"G527_66_P2A10_rumen_S66"	"G527_67_P2A14_rumen_S67"	"G527_68_P2A16_rumen_S68"	"G527_69_P2A18_rumen_S69"	"G527_7_P1A22_feces_S7"	"G527_70_P2A19_rumen_S70"	"G527_71_P2A20_rumen_S71"	"G527_72_P2A21_rumen_S72"	"G527_73_P2A22_rumen_S73"	"G527_74_P2A26_rumen_S74"	"G527_75_P2A27_rumen_S75"	"G527_76_P2A28_rumen_S76"	"G527_77_P2A29_rumen_S77"	"G527_78_P2A1_SNP_S78"	"G527_79_P2A10_SNP_S79"	"G527_8_P1A24_feces_S8"	"G527_80_P2A14_SNP_S80"	"G527_81_P2A16_SNP_S81"	"G527_82_P2A18_SNP_S82"	"G527_83_P2A19_SNP_S83"	"G527_84_P2A20_SNP_S84"	"G527_85_P2A21_SNP_S85"	"G527_86_P2A22_SNP_S86"	"G527_87_P2A26_SNP_S87"	"G527_88_P2A27_SNP_S88"	"G527_89_P2A28_SNP_S89"	"G527_9_P1A25_feces_S9"	"G527_90_P2A29_SNP_S90"	"G527_91_P2A7_SNP_S91"	"G527_92_P2A9_SNP_S92"	"G527_93_NoTemplate-DNAextraction1_S93"	"G527_94_NoTemplate-DNAextraction2_S94"	"G527_95_MockCommunity_S95"	"G527_96_NoTemplate-LibraryPrep_S96"
"Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|OTRC"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|TETA60"	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|TETB46"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|TETB60"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET31"	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET33"	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET35"	37	0	10	9	28	17	2	9	0	2	0	16	0	0	0	0	2	2	3	3	5	0	8	0	1	1	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	3	5	4	1	4	1	4	4	5	1	17	9	3	3	3	10	0	0	0	1	0	44	1	1	0	0	2	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET38"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3500	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET39"	16	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET42"	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET45"	15	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2563	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET58"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA"	204	3	45	3938	445	542	3	13	2	1	3	114	0	7	0	1	2	1	0	0	5	0	39	2	2	0	3	0	0	0	0	0	0	84	0	0	3	3	0	0	0	0	0	0	78	9	11	0	8	21	5	23	0	4	21	46	18	0	4	8	6	0	0	0	0	0	85	0	0	0	0	0	0	1	0	0	0	347	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB"	79	1	28	144	130	163	1	3	0	0	0	35	0	0	0	0	0	0	0	0	0	0	11	0	0	0	56	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	23	3	3	14	2	16	15	6	14	1	6	12	6	0	15	2	2	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETBP"	2	3	7	9	68	27	1	4	1	1	0	24	1	1	0	2	0	1	0	3	1	0	6	1	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	17	4	0	1	0	3	2	4	2	3	0	6	7	1	2	4	5	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC"	9	39	119	59	0	0	20	0	117	10	20	20	70	304	40	377	108	87	145	180	10	18	0	50	57	0	0	0	0	0	20	0	767	0	0	10	134	0	89	0	0	0	20	0	10	0	0	27	0	112	0	37	19	20	0	0	0	0	0	59	0	0	0	0	0	20	0	20	10	10	20	20	0	40	0	20	10	10	0	0	0	0	0	0	0	0	76	0	0	0	0	0	27063	4026	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETD"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG"	6	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETH"	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETK"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	7	3	0	0	9	0	4	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL"	1831	0	0	4217	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	9	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	39	12	0	11	0	0	0	0	0	0	6	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	155810	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_regulator|TETRM|RequiresSNPConfirmation"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|OTRA"	0	1	1	0	2	3	0	1	28	35	38	1	7	42	12	19	47	79	8	21	33	8	1	12	24	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	0	0	0	0	0	3	0	0	2	3	0	7	5	3	6	3	2	16	7	0	3	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|RPSJ|RequiresSNPConfirmation"	0	0	29	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	1	5	2	1	0	0	3	0	6	1	4	0	11	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32"	810	436	2148	849	3812	4220	415	1215	269	298	135	1602	125	663	314	631	441	392	111	258	869	59	774	209	358	273	0	0	0	3	1	0	0	1207	0	0	0	0	0	0	0	0	0	0	3307	376	244	112	190	193	154	424	244	232	347	1316	611	210	426	365	177	27	0	0	29	29	3273	55	40	145	32	60	40	113	36	0	80	1254	24	0	0	0	0	0	0	0	0	0	1700	1	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40"	3436	2540	17222	2972	17552	17178	1372	4604	728	696	646	4332	284	1064	468	752	472	212	288	488	552	220	3242	328	448	464	0	0	0	8	4	0	4	4552	0	0	0	0	0	0	0	0	0	0	10240	2256	840	516	592	580	509	2026	932	2016	818	5568	3408	572	1212	840	816	36	0	4	152	48	17488	16	72	120	12	80	72	164	100	0	48	4484	80	0	0	0	0	20	0	0	16	4	5414	4	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44"	234	205	2710	501	1818	581	249	347	532	830	102	385	48	1421	533	1134	520	756	250	1158	2322	94	255	555	622	286	0	0	0	0	0	0	0	624	0	0	0	2	0	0	0	0	0	0	996	156	224	44	67	20	40	202	159	195	88	302	345	98	194	302	289	76	0	0	50	28	1470	74	70	174	50	176	127	96	233	0	189	459	30	0	0	0	0	0	0	0	0	0	596	2	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM"	183	38	45	0	681	87	45	403	0	44	0	221	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	44	0	0	107	0	0	0	0	0	0	0	0	0	0	271	572	0	67	90	0	0	0	0	0	39	132	127	0	0	38	0	0	0	0	0	0	747	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO"	22292	13124	49009	13729	87618	69414	8231	19538	23904	30673	8321	33155	7091	47316	27189	55863	27618	25707	12045	38715	99214	5139	19550	18938	31708	14966	0	0	0	5	29	0	7	24100	17	0	0	0	18	0	0	11	8	0	87103	8353	6094	2339	3373	2732	1584	9977	5882	9357	4789	28030	17504	4373	11350	8687	7734	3191	0	30	2201	2597	61334	3189	4657	10549	3277	5510	3555	7207	4420	0	6462	25341	3284	0	0	0	15	51	8	11	20	0	28939	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ"	8884	16156	73394	12934	79071	45250	6761	19033	12080	24503	5721	27294	4703	30195	17287	21881	22292	10824	6640	15048	16872	1605	8913	10653	8146	7661	0	0	7	0	0	0	0	19101	7	0	0	0	0	0	0	0	0	0	48933	5710	4596	1948	2813	2116	2046	5054	2192	3803	4562	19306	10290	3520	3728	6366	2474	4771	0	0	1132	1542	66853	764	2267	11599	4154	3705	3122	3433	9931	0	2001	19567	1763	0	0	0	21	21	0	14	21	0	38535	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS"	16	0	0	0	14	4	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT"	0	0	0	0	2	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW"	21360	20259	78670	25826	119700	91415	14305	27760	57947	89419	18180	42395	16418	102289	69017	138582	68270	62450	35320	120234	293461	12775	34344	48208	83812	36004	0	0	0	9	34	0	22	46122	26	0	0	0	60	0	0	60	26	0	80920	14481	9627	4781	5701	4825	3373	17255	12550	18860	8870	44814	30276	5656	26079	11244	16718	8735	0	90	4762	6140	104925	7014	11831	20434	8502	15666	8956	17037	12319	0	16892	37406	8627	0	0	0	52	156	26	32	72	0	38106	1	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation"	12	0	0	158	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation"	70688	19231	58951	56935	70806	75048	9806	34802	13027	12353	8358	39979	3241	15291	6452	16937	12809	11374	7314	17168	34964	4613	50708	5666	12964	8433	137	15	34	23	21	2	10	42023	34	8	18	502	10	0	2	19	8	3	66504	10141	7399	7320	5752	11393	6595	13242	6984	8802	7690	39479	11821	6637	12280	11084	8837	2056	0	15	1147	1444	56892	1712	2276	6026	1765	3558	2020	3321	2580	20	3000	44263	1999	2	2	0	76	95	8	26	70	11	46508	15	1	0	127	15	23727	2
"Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA"	47	0	0	1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	29	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"Drugs|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Trimethoprim|Dihydrofolate_reductase|DFRD"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Trimethoprim|Dihydrofolate_reductase|DFRE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0
"Drugs|Trimethoprim|Dihydrofolate_reductase|DFRF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Trimethoprim|Dihydrofolate_reductase|DFRK"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation"	32	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"Metals|Aluminum_resistance|Aluminum_ATPase_|G2ALT"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	541	0
"Metals|Arsenic_resistance|Arsenic_resistance_protein|ARST"	0	0	4	0	2	0	0	0	6	4	0	1	1	3	2	3	8	1	1	1	3	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA"	1842	0	1168	725	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	17	3	7	1	1	29	22	2	19	6	3	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	287	0
